Bins id,phylum,Abundance,cazy_num
A5-S03_100,Proteobacteria,0.5208484,12
A5-S03_104,Desulfobacterota_B,0.964189563,9
A5-S03_121,Planctomycetota,0.255972063,9
A5-S03_147,Actinobacteriota,0.314260634,9
A5-S03_156,Proteobacteria,0.294276124,6
A5-S03_163,Proteobacteria,0.58112905,14
A5-S03_18,Myxococcota_A,0.260539826,19
A5-S03_23,SAR324,0.074032541,9
A5-S03_29,Proteobacteria,5.912903529,6
A5-S03_30,Actinobacteriota,2.320727171,4
A5-S03_33,Proteobacteria,0.21222155,5
A5-S03_4,Desulfobacterota_D,0.41339651,4
A5-S03_47,Proteobacteria,1.046038871,11
A5-S03_6,Acidobacteriota,0.346847489,13
A5-S03_68,Proteobacteria,4.440532729,10
A5-S03_71,Methylomirabilota,1.237084743,13
A5-S03_93,Acidobacteriota,0.441840494,16
A5-S04_105,Proteobacteria,0.196605762,8
A5-S04_112,Gemmatimonadota,0.186611123,10
A5-S04_114,Proteobacteria,0.645045786,9
A5-S04_119,Desulfobacterota_B,0.92977853,8
A5-S04_125,Nitrospinota,0.915304349,9
A5-S04_131,Planctomycetota,0.265482666,11
A5-S04_136,Chloroflexota,0.302968297,7
A5-S04_155,Proteobacteria,0.488820379,10
A5-S04_18,Acidobacteriota,0.199671379,17
A5-S04_187,Proteobacteria,0.311531731,14
A5-S04_200,Proteobacteria,0.945031543,9
A5-S04_22,Desulfobacterota_D,0.40288394,5
A5-S04_220,Proteobacteria,0.247000614,8
A5-S04_226,Actinobacteriota,0.272323164,7
A5-S04_30,Nitrospinota,0.8136465,9
A5-S04_33,Proteobacteria,0.31651019,10
A5-S04_70,Bacteroidota,0.148820884,23
A5-S04_75,Actinobacteriota,0.290472767,2
A5-S04_77,SAR324,0.072210886,10
A5-S04_79,Proteobacteria,0.318607914,10
A5-S04_85,Acidobacteriota,0.233582121,18
A5-S04_95,Chloroflexota,0.248934494,10
KW1-S05_108,Chloroflexota,0.277928309,13
KW1-S05_110,Proteobacteria,0.213011789,11
KW1-S05_112,Chloroflexota,0.310899793,6
KW1-S05_12,Proteobacteria,0.508929817,6
KW1-S05_124,SAR324,0.294255926,9
KW1-S05_126,Planctomycetota,0.311407144,10
KW1-S05_127,Desulfobacterota_B,0.923471411,9
KW1-S05_141,SAR324,0.076622328,11
KW1-S05_148,Desulfobacterota_D,0.425532171,6
KW1-S05_43,Myxococcota_A,0.235256853,18
KW1-S05_45,Methylomirabilota,5.157189414,14
KW1-S05_53,Proteobacteria,0.162283196,7
KW1-S05_58,Proteobacteria,0.230811317,7
KW1-S05_59,Actinobacteriota,0.267224739,4
KW1-S05_77,Proteobacteria,0.200084434,9
KW1-S05_81,Planctomycetota,0.782253657,14
KW1-S05_82,Proteobacteria,1.940370957,9
KW1-S05_85,Proteobacteria,0.349193537,10
KW1-S08_12,Proteobacteria,0.44676975,11
KW1-S08_121,Thermoproteota,0.513133703,0
KW1-S08_122,Nitrospirota,1.462568571,9
KW1-S08_123,Thermoproteota,6.2025539,0
KW1-S08_128,Proteobacteria,0.997859153,9
KW1-S08_133,Bacteroidota,0.370033516,26
KW1-S08_134,Planctomycetota,0.255114961,16
KW1-S08_144,Planctomycetota,0.139729227,6
KW1-S08_155,Proteobacteria,6.149914314,7
KW1-S08_17,Proteobacteria,0.159164767,12
KW1-S08_174,Acidobacteriota,0.092089279,10
KW1-S08_186,Proteobacteria,0.599157071,10
KW1-S08_192,Desulfobacterota_B,0.271533373,10
KW1-S08_198,Proteobacteria,0.388910899,13
KW1-S08_200,Planctomycetota,0.292582826,10
KW1-S08_208,Thermoproteota,0.213035727,0
KW1-S08_213,Actinobacteriota,0.241876276,8
KW1-S08_222,Bacteroidota,0.150504472,13
KW1-S08_226,Desulfobacterota_D,0.402511216,7
KW1-S08_227,Planctomycetota,0.436714834,15
KW1-S08_229,SAR324,0.071125272,10
KW1-S08_233,Chloroflexota,0.104121405,5
KW1-S08_236,Bacteroidota,0.220492649,20
KW1-S08_237,Planctomycetota,0.203033689,17
KW1-S08_24,Verrucomicrobiota,0.1502044,43
KW1-S08_242,Bacteroidota,0.151103031,19
KW1-S08_251,Acidobacteriota,0.218893764,12
KW1-S08_268,Tectomicrobia,0.926897809,5
KW1-S08_28,Poribacteria,0.179044687,40
KW1-S08_280,Myxococcota_A,0.242426154,11
KW1-S08_30,Chloroflexota,0.318359236,9
KW1-S08_46,Proteobacteria,0.135284126,9
KW1-S08_62,Proteobacteria,0.217866324,7
KW1-S08_89,Proteobacteria,0.256331371,12
KW1-S11_103,Acidobacteriota,0.234421643,8
KW1-S11_109,Desulfobacterota_D,0.41297887,8
KW1-S11_120,Proteobacteria,0.34623938,13
KW1-S11_124,Proteobacteria,0.18954842,9
KW1-S11_125,Proteobacteria,0.278560031,6
KW1-S11_145,Proteobacteria,0.172071763,10
KW1-S11_146,Proteobacteria,2.729152986,14
KW1-S11_15,SAR324,0.076138432,8
KW1-S11_156,Acidobacteriota,0.230362164,14
KW1-S11_157,Thermoproteota,0.221560479,1
KW1-S11_163,Planctomycetota,0.306985803,10
KW1-S11_176,Proteobacteria,0.49031732,11
KW1-S11_179,Actinobacteriota,0.321392209,6
KW1-S11_18,Proteobacteria,4.191198671,10
KW1-S11_180,Acidobacteriota,0.421277266,15
KW1-S11_190,Gemmatimonadota,0.312577214,14
KW1-S11_24,SAR324,0.305641044,9
KW1-S11_42,Actinobacteriota,0.327662699,5
KW1-S11_65,Bacteroidota,0.161869829,10
KW1-S11_81,Proteobacteria,0.521556793,6
KW1-S11_87,Gemmatimonadota,0.335534167,13
KW1-S11_89,Acidobacteriota,0.093538324,8
KW1-S11_99,Proteobacteria,0.144489618,8
KW1-S15_112,Latescibacterota,0.19547142,42
KW1-S15_114,Planctomycetota,0.151523991,11
KW1-S15_115,Krumholzibacteriota,0.188126221,15
KW1-S15_117,SAR324,0.078088514,10
KW1-S15_126,Desulfobacterota_B,0.830950853,5
KW1-S15_132,Proteobacteria,0.139503802,15
KW1-S15_135,Proteobacteria,0.224710204,10
KW1-S15_137,Proteobacteria,0.217595933,17
KW1-S15_14,Planctomycetota,0.207537474,16
KW1-S15_144,Thermoproteota,0.670466961,3
KW1-S15_149,Proteobacteria,0.160014541,16
KW1-S15_16,Proteobacteria,0.483535993,6
KW1-S15_162,Actinobacteriota,0.287102209,4
KW1-S15_183,Acidobacteriota,0.102070713,9
KW1-S15_187,Myxococcota_A,0.32033485,22
KW1-S15_188,Tectomicrobia,0.83604275,7
KW1-S15_197,Acidobacteriota,0.464666561,10
KW1-S15_2,Bacteroidota,0.25881706,17
KW1-S15_200,Planctomycetota,0.198235249,19
KW1-S15_211,Planctomycetota,0.151857809,12
KW1-S15_215,Chloroflexota,0.125078511,3
KW1-S15_218,Nitrospirota,0.254122957,16
KW1-S15_227,Thermoproteota,0.207153977,1
KW1-S15_23,Proteobacteria,0.188993937,7
KW1-S15_234,Proteobacteria,0.228959717,10
KW1-S15_262,Nitrospirota,1.284998,4
KW1-S15_266,Desulfobacterota_D,0.43531638,7
KW1-S15_267,Myxococcota,0.183219153,8
KW1-S15_279,Acidobacteriota,0.258526741,11
KW1-S15_293,Proteobacteria,2.563677914,8
KW1-S15_306,KSB1,0.271841916,19
KW1-S15_31,Planctomycetota,0.283034669,11
KW1-S15_41,Myxococcota_A,0.21241194,10
KW1-S15_72,Proteobacteria,0.309811747,10
KW1-S15_75,Proteobacteria,0.266347046,6
KW1-S15_8,Proteobacteria,0.503847403,11
KW1-S15_96,Proteobacteria,0.211919719,13
KW1-S15_97,Planctomycetota,0.046552284,15
KW1-S15_98,Proteobacteria,0.307551094,9
KW1-S21_104,Planctomycetota,0.204372717,15
KW1-S21_115,Proteobacteria,0.395452669,11
KW1-S21_123,Gemmatimonadota,0.183671597,7
KW1-S21_138,Proteobacteria,0.538949973,12
KW1-S21_141,Proteobacteria,0.65511743,11
KW1-S21_144,SAR324,0.075586438,10
KW1-S21_160,Acidobacteriota,0.088854504,9
KW1-S21_168,Tectomicrobia,0.197764756,13
KW1-S21_174,Planctomycetota,0.300195743,8
KW1-S21_189,Proteobacteria,0.150738168,14
KW1-S21_193,Gemmatimonadota,0.630529146,12
KW1-S21_196,Acidobacteriota,0.480650736,11
KW1-S21_197,Chloroflexota,0.363851073,8
KW1-S21_231,Proteobacteria,0.225042987,14
KW1-S21_238,Proteobacteria,0.48662174,6
KW1-S21_242,Proteobacteria,0.231691679,11
KW1-S21_260,Proteobacteria,0.243632343,7
KW1-S21_27,Proteobacteria,0.145856161,7
KW1-S21_271,Desulfobacterota_D,0.400053411,7
KW1-S21_28,Proteobacteria,0.485937491,8
KW1-S21_32,Gemmatimonadota,0.352226454,12
KW1-S21_52,Bacteroidota,0.154834449,21
KW1-S21_6,Desulfobacterota_B,0.807535986,9
KW1-S21_73,Chloroflexota,0.110486527,5
KW1-S21_82,Proteobacteria,0.247573133,6
KW1-S21_85,Acidobacteriota,0.471338041,15
